,election_year,election_type,office_name,primary_party,district_name,candidate_party,candidate_name,votes,votes_rank,incumbent,CO_ID
875,2006,General,State Representative,0,28,Libertarian,aaron chase,755.0,3,0.0,
2331,2016,Primary,State Representative,Democratic,8,Democratic,aaron goldhamer,4546.0,2,0.0,20165031769.0
3301,1990,General,Secretary of State,0,Colorado,Democratic,aaron harber,345245.0,2,0.0,
3304,1990,Primary,Secretary of State,Democratic,Colorado,Democratic,aaron harber,138648.0,1,0.0,
427,2002,General,State Representative,0,61,Natural Law Party,abba krieger,978.0,3,0.0,20025800114.0
115,2000,General,State Representative,0,46,Democratic,abel tapia,14852.0,1,0.0,20000946001
211,2000,Primary,State Representative,Democratic,46,Democratic,abel tapia,408.0,1,0.0,20000946001
3792,2002,General,State Senate,0,3,Democratic,abel tapia,26118.0,1,1.0,20015990189.0
3827,2002,Primary,State Senate,Democratic,3,Democratic,abel tapia,5332.0,1,1.0,20015990189.0
3927,2006,General,State Senate,0,3,Democratic,abel tapia,37562.0,1,1.0,20015990189.0
3960,2006,Primary,State Senate,Democratic,3,Democratic,abel tapia,5318.0,1,1.0,20015990189.0
4451,2018,General,State Senate,0,24,Unaffiliated,adam matkowsky,3328.0,3,0.0,20175032016.0
1641,2012,General,State Representative,0,13,Republican,adam ochs,12596.0,2,0.0,20125024015.0
1861,2012,Primary,State Representative,Republican,13,Republican,adam ochs,3146.0,1,0.0,20125024015.0
2861,2020,General,State Representative,0,53,Libertarian,adam shuknecht,10543.0,2,0.0,
2286,2016,General,State Representative,0,49,Democratic,adrian sweeney,21210.0,2,0.0,20165030887.0
2372,2016,Primary,State Representative,Democratic,49,Democratic,adrian sweeney,3404.0,1,0.0,20165030887.0
442,2002,Primary,State Representative,Democratic,4,Democratic,adrienne benavidez,2234.0,2,0.0,20015990216.0
2250,2016,General,State Representative,0,32,Democratic,adrienne benavidez,15736.0,1,0.0,20165030351.0
2353,2016,Primary,State Representative,Democratic,32,Democratic,adrienne benavidez,1706.0,1,0.0,20165030351.0
2521,2018,General,State Representative,0,32,Democratic,adrienne benavidez,16644.0,1,1.0,20165030351.0
2635,2018,Primary,State Representative,Democratic,32,Democratic,adrienne benavidez,5049.0,1,1.0,20165030351.0
2812,2020,General,State Representative,0,32,Democratic,adrienne benavidez,19597.0,1,1.0,20165030351.0
2922,2020,Primary,State Representative,Democratic,32,Democratic,adrienne benavidez,7782.0,1,1.0,20165030351.0
3062,2022,Primary,State Representative,Democratic,35,Democratic,adrienne benavidez,5476.0,1,1.0,20225042052
878,2006,General,State Representative,0,29,Republican,affie ellis,10746.0,2,0.0,20065612288.0
1044,2006,Primary,State Representative,Republican,29,Republican,affie ellis,2169.0,1,0.0,20065612288.0
829,2006,General,State Representative,0,1,Republican,aimee rathburn,7603.0,2,0.0,20055622401.0
1022,2006,Primary,State Representative,Republican,1,Republican,aimee rathburn,1670.0,1,0.0,20055622401.0
147,2000,General,State Representative,0,60,Democratic,al gagliardi,9649.0,2,0.0,19980960004
217,2000,Primary,State Representative,Democratic,60,Democratic,al gagliardi,2165.0,1,0.0,19980960004
3431,1992,General,State Senate,0,19,Republican,al meiklejohn,27695.0,1,0.0,19940819002
3473,1992,Primary,State Senate,Republican,19,Republican,al meiklejohn,3087.0,1,0.0,19940819002
3739,2000,General,State Senate,0,31,Republican,al mewborn,5720.0,2,0.0,20000831002
3784,2000,Primary,State Senate,Republican,31,Republican,al mewborn,576.0,1,0.0,20000831002
526,2002,Primary,State Representative,Republican,28,Republican,al sprock,1621.0,2,0.0,
139,2000,General,State Representative,0,56,Republican,al white,15675.0,1,0.0,19990956004.0
279,2000,Primary,State Representative,Republican,56,Republican,al white,1761.0,1,0.0,19990956004.0
419,2002,General,State Representative,0,57,Republican,al white,15453.0,1,1.0,19990956004.0
558,2002,Primary,State Representative,Republican,57,Republican,al white,4712.0,1,1.0,19990956004.0
688,2004,General,State Representative,0,57,Republican,al white,22543.0,1,1.0,19990956004.0
818,2004,Primary,State Representative,Republican,57,Republican,al white,6493.0,1,1.0,19990956004.0
937,2006,General,State Representative,0,57,Republican,al white,15730.0,1,1.0,19990956004.0
1074,2006,Primary,State Representative,Republican,57,Republican,al white,5779.0,1,1.0,19990956004.0
4004,2008,General,State Senate,0,8,Republican,al white,33888.0,1,1.0,20075621433.0
4061,2008,Primary,State Senate,Republican,8,Republican,al white,3124.0,1,1.0,20075621433.0
1660,2012,General,State Representative,0,19,Libertarian,alan bassett,4735.0,2,0.0,20125024687.0
1629,2012,General,State Representative,0,8,Republican,alan johnson,5623.0,2,0.0,20125024534.0
1856,2012,Primary,State Representative,Republican,8,Republican,alan johnson,688.0,1,0.0,20125024534.0
4479,2018,Primary,State Senate,Democratic,34,Democratic,alan kennedyshaffer,3821.0,3,0.0,20175032280.0
3445,1992,General,State Senate,0,29,Republican,alan messick,3.0,3,0.0,
1870,2012,Primary,State Representative,Republican,21,Republican,albert sweet,1506.0,2,0.0,20125023360.0
128,2000,General,State Representative,0,52,Libertarian,alberto squassabia,1060.0,3,0.0,
670,2004,General,State Representative,0,49,Libertarian,alberto squassabia,1057.0,3,0.0,
1925,2014,General,State Representative,0,2,Democratic,alec garnett,24261.0,1,0.0,20135025282.0
2060,2014,Primary,State Representative,Democratic,2,Democratic,alec garnett,3478.0,1,0.0,20135025282.0
2189,2016,General,State Representative,0,2,Democratic,alec garnett,34422.0,1,1.0,20135025282.0
2321,2016,Primary,State Representative,Democratic,2,Democratic,alec garnett,6301.0,1,1.0,20135025282.0
2457,2018,General,State Representative,0,2,Democratic,alec garnett,40121.0,1,1.0,20135025282.0
2596,2018,Primary,State Representative,Democratic,2,Democratic,alec garnett,16041.0,1,1.0,20135025282.0
2739,2020,General,State Representative,0,2,Democratic,alec garnett,45369.0,1,1.0,20135025282.0
2889,2020,Primary,State Representative,Democratic,2,Democratic,alec garnett,25709.0,1,1.0,20135025282.0
2462,2018,General,State Representative,0,5,Democratic,alex valdez,27131.0,1,0.0,20175031887.0
2601,2018,Primary,State Representative,Democratic,5,Democratic,alex valdez,4666.0,1,0.0,20175031887.0
2746,2020,General,State Representative,0,5,Democratic,alex valdez,37132.0,1,1.0,20175031887.0
2892,2020,Primary,State Representative,Democratic,5,Democratic,alex valdez,18082.0,1,1.0,20175031887.0
3029,2022,Primary,State Representative,Democratic,5,Democratic,alex valdez,8040.0,1,1.0,20175031887
391,2002,General,State Representative,0,42,Republican,alexander jacobson,4004.0,2,0.0,20025800106.0
541,2002,Primary,State Representative,Republican,42,Republican,alexander jacobson,1650.0,1,0.0,20025800106.0
2252,2016,General,State Representative,0,32,Republican,alexander jacobson,8710.0,2,0.0,20155029084.0
2416,2016,Primary,State Representative,Republican,32,Republican,alexander jacobson,1108.0,1,0.0,20155029084.0
4145,2010,Primary,State Senate,Republican,3,Republican,alexander luceromugatu,2230.0,2,0.0,20095609504.0
2164,2014,Primary,State Representative,Republican,46,Republican,alexander luceromugatu,879.0,2,0.0,20145026873
3000,2020,Primary,State Representative,Republican,46,Republican,alexander luceromugatu,1948.0,2,0.0,20145026873
1995,2014,General,State Representative,0,34,Republican,alexander winkler,9164.0,2,0.0,20145028060.0
2152,2014,Primary,State Representative,Republican,34,Republican,alexander winkler,2436.0,1,0.0,20145028060.0
2527,2018,General,State Representative,0,34,Republican,alexander winkler,10565.0,2,0.0,20185034100.0
2706,2018,Primary,State Representative,Republican,34,Republican,alexander winkler,3383.0,1,0.0,20185034100.0
953,2006,Primary,State Representative,Democratic,1,Democratic,alfredo hernandez,1287.0,2,0.0,20055619592.0
1194,2008,General,State Representative,0,56,Republican,ali hasan,15992.0,2,0.0,20075640977
1339,2008,Primary,State Representative,Republican,56,Republican,ali hasan,963.0,1,0.0,20075640977
