"CandidateName","Party","ElectionYear","Jurisdiction","Office","District","CampaignStatus","CandidateStatus","CandidateID"
"AARESTAD, DAVID","Democratic","2020","STATEWIDE","Colorado House","House District 41","Inactive","Terminated","20195036521"
"ABRAHAMSON, LARRY","Republican","2004","STATEWIDE","District Attorney","District 08","Inactive","Terminated","20035624956"
"ABRAHAMSON, LARRY","Republican","2008","STATEWIDE","District Attorney","District 08","Inactive","Terminated","20085602682"
"ACHZIGER, LYLE","Non-Partisan","2015","STATEWIDE","AIMS JUNIOR COLLEGE BOARD OF TRUSTEES","DISTRICT E","Inactive","Terminated","20155029809"
"ACHZIGER, LYLE","Non-Partisan","2019","STATEWIDE","AIMS JUNIOR COLLEGE BOARD OF TRUSTEES","DISTRICT E","Inactive","Terminated","20155029809"
"ACQUAFRESCA, S","Republican","1994","STATEWIDE","Colorado House","House District 58","Inactive","Terminated","20005000315"
"ACQUAFRESCA, STEVEN","Republican","1998","STATEWIDE","Colorado House","House District 58","Inactive","Terminated","20005000771"
"ACQUAFRESCA, STEVEN","Republican","2014","STATEWIDE","Colorado House","House District 55","Inactive","Terminated","20135026542"
"ACREE, CINDY","Republican","2012","STATEWIDE","Colorado House","House District 40","Inactive","Terminated","20095617430"
"ACREE, CYNTHIA","Republican","2008","STATEWIDE","Colorado House","House District 40","Inactive","Terminated","20095617430"
"ACREE, CYNTHIA","Republican","2010","STATEWIDE","Colorado House","House District 40","Inactive","Terminated","20095617430"
"ADAMS, BRENDA (BEE)","Democratic","2002","STATEWIDE","Colorado House","House District 28","Inactive","Terminated","20005001551"
"ADAMS, ELIZABETH","Non-Partisan","2014","STATEWIDE","RTD DIRECTOR","RTD District O","Inactive","Terminated","20145028469"
"ADAMS, LIZ","Democratic","2008","STATEWIDE","Colorado House","House District 06","Inactive","Terminated","20075619883"
"ADAMS, MARK","Democratic","1996","STATEWIDE","District Attorney","District 13","Inactive","Terminated","20005000571"
"ADAMS, MARK","Democratic","2000","STATEWIDE","District Attorney","District 13","Inactive","Terminated","20005000802"
