"CommitteeName","CommitteeID","CommitteeType","DateRegistered","CommitteeStatus","JurisdictionDesc"
"COMMITTEE TO ELECT DAVID J. PIGOTT","20115022924","Candidate Committee","11/17/2011","Terminated","STATEWIDE"
"JESSIE FOR COLORADO","20115022926","Candidate Committee","11/18/2011","Terminated","STATEWIDE"
"CSEPS SMALL DONOR COMMITTEE","20115022928","Small Donor Committee","11/18/2011","Active","STATEWIDE"
"BRUCE BROWN FOR DISTRICT ATTORNEY","20115022930","Candidate Committee","11/21/2011","Terminated","STATEWIDE"
"RIEDEL FOR DISTRICT ATTORNEY","20115022931","Candidate Committee","11/22/2011","Terminated","STATEWIDE"
"JONATHAN SINGER FOR HD 11","20115022936","Candidate Committee","11/23/2011","Terminated","STATEWIDE"
"COMMITTEE TO ELECT ANDREW BEEN TO HD 34","20115022937","Candidate Committee","11/26/2011","Terminated","STATEWIDE"
"KEITH MANDELSKI FOR DA","20115022939","Candidate Committee","11/28/2011","Terminated","STATEWIDE"
"ALLPORTFORHD27","20115022942","Candidate Committee","11/23/2011","Terminated","STATEWIDE"
"GARROW FOR REGENT","20115022944","Candidate Committee","11/28/2011","Terminated","STATEWIDE"
"HOUCK FOR HD1","20115022949","Candidate Committee","11/28/2011","Terminated","STATEWIDE"
"COMMITTEE TO ELECT ARTHUR CARLSON","20115022951","Candidate Committee","12/01/2011","Terminated","STATEWIDE"
"COLORADANS FOR PEACE","20115022956","Issue Committee","11/30/2011","Terminated","STATEWIDE"
"TOPOLNICKI FOR DA","20115022960","Candidate Committee","12/01/2011","Terminated","STATEWIDE"
"SCOTT TURNER 4 DA","20115022962","Candidate Committee","12/02/2011","Terminated","STATEWIDE"
"COLORADO CHAMBER 527 POLITICAL ORGANIZATION","20115022964","527 Political Organization","12/02/2011","Active","STATEWIDE"
"GAR FOR COLORADO","20115022973","Candidate Committee","12/05/2011","Terminated","STATEWIDE"
"FRIENDS TO ELECT TODD BARSON, DISTRICT ATTORNEY (FIFTH JUDICIAL)","20115022981","Candidate Committee","12/07/2011","Terminated","STATEWIDE"
"CLEAN SLATE NOW COLORADO","20115022985","Independent Expenditure Committee","12/02/2011","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MIKE MAZZOCCO","20115022986","Candidate Committee","12/08/2011","Terminated","STATEWIDE"
"SYNDI FOR SENATE 2012","20115022991","Candidate Committee","12/10/2011","Terminated","STATEWIDE"
"COMMITTEE TO RE-ELECT THOM K LEDOUX DISTRICT ATTORNEY 11TH JD '12","20115022999","Candidate Committee","12/14/2011","Terminated","STATEWIDE"
"FRIENDS OF AMY ATTWOOD","20115023000","Candidate Committee","12/14/2011","Terminated","STATEWIDE"
"COMMITTEE TO ELECT RAY WATTS","20115023001","Candidate Committee","12/15/2011","Terminated","STATEWIDE"
"CITIZENS FOR DAN NORDBERG","20115023002","Candidate Committee","12/14/2011","Active","STATEWIDE"
"REAGAN CLUB SD","20115023003","Small Donor Committee","12/14/2011","Terminated","STATEWIDE"
"REAGAN CLUB PC","20115023004","Political Committee","12/14/2011","Terminated","STATEWIDE"
"BARKEY FOR DISTRICT ATTORNEY","20115023009","Candidate Committee","12/16/2011","Terminated","STATEWIDE"
"CITIZENS FOR ANDY KERR (SD 22)","20115023013","Candidate Committee","12/19/2011","Terminated","STATEWIDE"
"LEE KEMP FOR COLORADO SENATE","20115023015","Candidate Committee","12/19/2011","Terminated","STATEWIDE"
"EVERETT FOR COLORADO/JUSTIN EVERETT FOR HOUSE DISTRICT 22","20115023019","Candidate Committee","12/20/2011","Terminated","STATEWIDE"
"MARY PARKER FOR HD22","20115023020","Candidate Committee","12/20/2011","Terminated","STATEWIDE"
"THE COLORADO BETTER BANKING AMENDMENT (PROPOSED AMENDMENT #50)","20115023025","Issue Committee","12/20/2011","Terminated","STATEWIDE"
"JESSIE FOR COLORADO","20115023027","Candidate Committee","12/21/2011","Terminated","STATEWIDE"
"MARBLE FOR HD49","20115023035","Candidate Committee","12/22/2011","Terminated","STATEWIDE"
"POLLY FOR COLORADO","20115023038","Candidate Committee","12/22/2011","Terminated","STATEWIDE"
"CITIZENS FOR OWEN HILL","20115023039","Candidate Committee","12/22/2011","Terminated","STATEWIDE"
"COMMITTEE TO ELECT RANDY L. BAUMGARDNER","20115023044","Candidate Committee","12/28/2011","Terminated","STATEWIDE"
"COMMITTEE TO ELECT LOREN","20115023048","Candidate Committee","12/28/2011","Terminated","STATEWIDE"
"GENE STILLE 4 63","20115023049","Candidate Committee","12/29/2011","Terminated","STATEWIDE"
"COLORADO PERSONHOOD COALITION","20115023050","Issue Committee","12/29/2011","Terminated","STATEWIDE"
"COLORADO FOR CARROLL","20115023052","Candidate Committee","12/29/2011","Terminated","STATEWIDE"
"BRIAN WATSON FOR COLORADO","20125023054","Candidate Committee","01/02/2012","Terminated","STATEWIDE"
"RAMIREZ FOR COLORADO","20125023056","Candidate Committee","01/03/2012","Terminated","STATEWIDE"
"COMMITTEE TO RE-ELECT AMY STEPHENS","20125023057","Candidate Committee","01/03/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT BOB GARDNER","20125023060","Candidate Committee","01/03/2012","Terminated","STATEWIDE"
"TRAVIS GRANT FOR STATE HOUSE","20125023065","Candidate Committee","01/04/2012","Terminated","STATEWIDE"
"KERBER FOR COLORADO","20125023068","Candidate Committee","01/04/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT LARRY LISTON","20125023069","Candidate Committee","01/04/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT BRUCE SPARROW","20125023070","Candidate Committee","01/04/2012","Terminated","STATEWIDE"
"COMMITTEE TO RE-ELECT MATT COHEN","20125023073","Candidate Committee","01/04/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT KEN SUMMERS","20125023075","Candidate Committee","01/05/2012","Terminated","STATEWIDE"
"JENISE MAY FOR HOUSE DISTRICT 30","20125023077","Candidate Committee","01/05/2012","Terminated","STATEWIDE"
"COLORADO ACADEMY OF FAMILY PHYSICIANS POLITICAL COMMITTEE","20125023080","Political Committee","01/05/2012","Active","STATEWIDE"
"COOMBE FOR COLORADO STATE HOUSE","20125023082","Candidate Committee","01/06/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT LAURA K. BRADFORD","20125023084","Candidate Committee","01/05/2012","Terminated","STATEWIDE"
"FRIENDS OF BRIAN VANDE KROL","20125023086","Candidate Committee","01/06/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JENNIFER GEORGE","20125023089","Candidate Committee","01/05/2012","Terminated","STATEWIDE"
"PATRICK SWONGER FOR HOUSE DISTRICT 59","20125023096","Candidate Committee","01/05/2012","Terminated","STATEWIDE"
"FRIENDS OF MARTIN BEESON","20125023097","Candidate Committee","01/06/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT PERRY BUCK FOR HOUSE DISTRICT 49","20125023099","Candidate Committee","01/08/2012","Terminated","STATEWIDE"
"FRIENDS OF KEVIN PRIOLA","20125023109","Candidate Committee","01/10/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT CHUCK RODOSEVICH","20125023117","Candidate Committee","01/11/2012","Terminated","STATEWIDE"
"ARNOLD 4 COLORADO","20125023122","Candidate Committee","01/11/2012","Terminated","STATEWIDE"
"FRIENDS OF BOB RANKIN","20125023123","Candidate Committee","01/12/2012","Terminated","STATEWIDE"
"FELDMAN FOR DA","20125023134","Candidate Committee","01/12/2012","Terminated","STATEWIDE"
"FRIENDS OF RICK ENSTROM","20125023142","Candidate Committee","01/13/2012","Terminated","STATEWIDE"
"STEVE HUMPHREY FOR HOUSE","20125023144","Candidate Committee","01/14/2012","Active","STATEWIDE"
"CITIZENS TO ELECT DIANE FOR COLORADO HD 26","20125023146","Candidate Committee","01/16/2012","Terminated","STATEWIDE"
"COLORADANS FOR GESSLER","20125023147","Candidate Committee","01/13/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT BJ NIKKEL","20125023149","Candidate Committee","01/17/2012","Terminated","STATEWIDE"
"DAN MAY FOR D.A.","20125023150","Candidate Committee","01/17/2012","Terminated","STATEWIDE"
"VOTE FOR DAGNA","20125023151","Candidate Committee","01/17/2012","Terminated","STATEWIDE"
"MARBLE FOR SD23","20125023153","Candidate Committee","01/17/2012","Terminated","STATEWIDE"
"SIAS FOR COLORADO SENATE","20125023157","Candidate Committee","01/17/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT LOIS LANDGRAF","20125023159","Candidate Committee","01/17/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT TIM DORE","20125023167","Candidate Committee","01/18/2012","Terminated","STATEWIDE"
"MARK SHAFFER FOR STATE REPRESENTATIVE","20125023174","Candidate Committee","01/19/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT LU BUSSE","20125023175","Candidate Committee","01/19/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT CHUCK MCCONNELL  HD 26","20125023188","Candidate Committee","01/20/2012","Terminated","STATEWIDE"
"FASTRACKS YES","20125023191","Issue Committee","01/20/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MILLIE HAMNER","20125023197","Candidate Committee","01/23/2012","Terminated","STATEWIDE"
"FRIENDS OF ALEXANDER LUCERO MAGATU 2012","20125023205","Candidate Committee","01/24/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT RON ROESENER","20125023218","Candidate Committee","01/26/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT LORI SAINE TO HD 63","20125023220","Candidate Committee","01/24/2012","Terminated","STATEWIDE"
"JEFFREY HARE FOR HOUSE","20125023226","Candidate Committee","01/26/2012","Terminated","STATEWIDE"
"DAVE ROSE FOR STATE REPRESENTATIVE HD 56","20125023229","Candidate Committee","01/26/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JANAK JOSHI","20125023241","Candidate Committee","01/29/2012","Terminated","STATEWIDE"
"GRIEGO FOR CU","20125023242","Candidate Committee","01/30/2012","Terminated","STATEWIDE"
"GLEN H. GALLEGOS FOR CU REGENT- THIRD DISTRICT","20125023243","Candidate Committee","01/28/2012","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JOHN LYONS","20125023248","Candidate Committee","01/30/2012","Terminated","STATEWIDE"
