contest_id,election_date,election_type,primary_party,is_voter_statistics,question_number,question_text,question_type,question_grouping,office_name,district_type,district_name,candidate_name,is_pseudocandidate,candidate_party,candidate_party_2,candidate_party3,candidate_for_retention_or_recall,granular_division_type,granular_division_name,votes
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Adams,27654
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Alamosa,1378
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Arapahoe,44305
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Archuleta,2411
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Baca,776
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Bent,563
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Boulder,14341
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Broomfield,6516
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Chaffee,2383
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Cheyenne,367
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,"Clear Creek",871
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Conejos,831
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Costilla,183
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Crowley,618
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Custer,1357
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Delta,5717
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Denver,19783
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Dolores,430
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Douglas,46803
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Eagle,2812
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,"El Paso",82300
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Elbert,5847
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Fremont,6841
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Garfield,5892
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Gilpin,644
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Grand,1646
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Gunnison,1486
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Hinsdale,149
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Huerfano,895
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Jackson,381
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Jefferson,55876
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Kiowa,359
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,"Kit Carson",1263
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,"La Plata",6467
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Lake,424
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Larimer,35168
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,"Las Animas",1513
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Lincoln,918
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Logan,3092
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Mesa,25232
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Mineral,191
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Moffat,2073
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Montezuma,3787
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Montrose,7735
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Morgan,3684
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Otero,2527
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Ouray,857
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Park,2724
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Phillips,762
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Pitkin,1012
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Prowers,1573
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Pueblo,14179
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,"Rio Blanco",1438
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,"Rio Grande",1603
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Routt,1793
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Saguache,558
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,"San Juan",44
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,"San Miguel",474
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Sedgwick,374
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Summit,1473
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Teller,4442
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Washington,1285
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Weld,31739
25378,"2022-06-28 00:00:00",Primary,Republican,0,,,,,"Attorney General",State,Colorado,"John Kellner",0,Republican,,,,County,Yuma,1812
