contest_id,election_date,election_type,primary_party,is_voter_statistics,question_number,question_text,question_type,question_grouping,office_name,district_type,district_name,candidate_name,is_pseudocandidate,candidate_party,candidate_party_2,candidate_party3,candidate_for_retention_or_recall,granular_division_type,granular_division_name,votes
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Adams,70305
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Adams,3749
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Alamosa,3478
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Alamosa,247
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Arapahoe,77487
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Arapahoe,6761
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Archuleta,1481
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Archuleta,116
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Baca,1259
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Baca,316
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Bent,1563
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Bent,94
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Boulder,71126
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Boulder,7649
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Chaffee,2766
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Chaffee,336
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Cheyenne,393
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Cheyenne,37
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,"Clear Creek",2029
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,"Clear Creek",64
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Conejos,2718
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Conejos,866
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Costilla,2027
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Costilla,689
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Crowley,780
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Crowley,144
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Custer,513
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Custer,78
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Delta,4799
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Delta,204
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Denver,160473
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Denver,12538
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Dolores,609
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Dolores,175
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Douglas,20232
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Douglas,443
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Eagle,5244
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Eagle,324
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Elbert,2565
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Elbert,173
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,"El Paso",71220
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,"El Paso",5182
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Fremont,7763
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Fremont,211
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Garfield,7233
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Garfield,206
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Gilpin,1041
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Gilpin,57
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Grand,2000
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Grand,149
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Gunnison,3423
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Gunnison,97
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Hinsdale,176
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Hinsdale,22
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Registered Voters",1,Republican,,,,County,Huerfano,3160
7533,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"Secretary of State",State,Colorado,"Anthony Martinez",0,Democratic,,,,County,Huerfano,683
