contest_id,election_date,election_type,primary_party,is_voter_statistics,question_number,question_text,question_type,question_grouping,office_name,district_type,district_name,candidate_name,is_pseudocandidate,candidate_party,candidate_party_2,candidate_party3,candidate_for_retention_or_recall,granular_division_type,granular_division_name,votes
6465,"2004-11-02 00:00:00",General,,0,,,,,"State Senate","State Senate District",14,"Ray Martinez",0,Republican,,,,County,Larimer,28539
6465,"2004-11-02 00:00:00",General,,0,,,,,"State Senate","State Senate District",14,"Bob Bacon",0,Democratic,,,,County,Larimer,38719
6465,"2004-11-02 00:00:00",General,,0,,,,,"State Senate","State Senate District",14,"Mark Brophy",0,Libertarian,,,,County,Larimer,2419
6465,"2004-11-02 00:00:00",General,,0,,,,,"State Senate","State Senate District",14,"Total Votes Cast",1,,,,,County,Larimer,69677
6465,"2004-11-02 00:00:00",General,,0,,,,,"State Senate","State Senate District",14,"Total Ballots Cast",1,,,,,County,Larimer,69677
8386,"1998-11-03 00:00:00",General,,0,,,,,"State Senate","State Senate District",7,"Registered Voters",1,Republican,,,,County,Mesa,64552
8386,"1998-11-03 00:00:00",General,,0,,,,,"State Senate","State Senate District",7,"Pete Hautzinger",0,Republican,,,,County,Mesa,17919
8386,"1998-11-03 00:00:00",General,,0,,,,,"State Senate","State Senate District",7,"RONALD J. TECK",0,Republican,,,,County,Mesa,21733
8386,"1998-11-03 00:00:00",General,,0,,,,,"State Senate","State Senate District",7,"Total Ballots Cast",1,,,,,County,Mesa,40251
8386,"1998-11-03 00:00:00",General,,0,,,,,"State Senate","State Senate District",7,"Blank Votes",1,,,,,County,Mesa,599
8386,"1998-11-03 00:00:00",General,,0,,,,,"State Senate","State Senate District",7,"Total Votes Cast",1,,,,,County,Mesa,39652
6467,"2004-11-02 00:00:00",General,,0,,,,,"State Senate","State Senate District",18,"Total Ballots Cast",1,,,,,County,Boulder,66788
6467,"2004-11-02 00:00:00",General,,0,,,,,"State Senate","State Senate District",18,"Total Votes Cast",1,,,,,County,Boulder,66788
6467,"2004-11-02 00:00:00",General,,0,,,,,"State Senate","State Senate District",18,"Ron Tupa",0,Democratic,,,,County,Boulder,52332
6467,"2004-11-02 00:00:00",General,,0,,,,,"State Senate","State Senate District",18,"Krista Poch",0,Republican,,,,County,Boulder,14456
8395,"1998-11-03 00:00:00",General,,0,,,,,"State Senate","State Senate District",34,"Total Ballots Cast",1,,,,,County,Denver,20248
8395,"1998-11-03 00:00:00",General,,0,,,,,"State Senate","State Senate District",34,"Total Votes Cast",1,,,,,County,Denver,19589
8395,"1998-11-03 00:00:00",General,,0,,,,,"State Senate","State Senate District",34,"Registered Voters",1,Republican,,,,County,Denver,56114
8395,"1998-11-03 00:00:00",General,,0,,,,,"State Senate","State Senate District",34,"Robert M. ""Rob"" Hernandez",0,Republican,,,,County,Denver,19589
8395,"1998-11-03 00:00:00",General,,0,,,,,"State Senate","State Senate District",34,"Blank Votes",1,,,,,County,Denver,484
8395,"1998-11-03 00:00:00",General,,0,,,,,"State Senate","State Senate District",34,"Write In",1,Unaffiliated,,,,County,Denver,175
18771,"2002-11-05 00:00:00",General,,0,,,,,"State Senate","State Senate District",32,"Registered Voters",1,,,,,County,Denver,89117
18771,"2002-11-05 00:00:00",General,,0,,,,,"State Senate","State Senate District",32,"Richard Combs",0,Libertarian,,,,County,Denver,6645
18771,"2002-11-05 00:00:00",General,,0,,,,,"State Senate","State Senate District",32,"Dan Grossman",0,Democratic,,,,County,Denver,28180
18771,"2002-11-05 00:00:00",General,,0,,,,,"State Senate","State Senate District",32,"Registered Voters",1,,,,,County,Jefferson,3
18771,"2002-11-05 00:00:00",General,,0,,,,,"State Senate","State Senate District",32,"Richard Combs",0,Libertarian,,,,County,Jefferson,1
18771,"2002-11-05 00:00:00",General,,0,,,,,"State Senate","State Senate District",32,"Dan Grossman",0,Democratic,,,,County,Jefferson,
18771,"2002-11-05 00:00:00",General,,0,,,,,"State Senate","State Senate District",32,"Total Votes Cast",1,,,,,County,Denver,34825
18771,"2002-11-05 00:00:00",General,,0,,,,,"State Senate","State Senate District",32,"Total Ballots Cast",1,,,,,County,Denver,34825
18771,"2002-11-05 00:00:00",General,,0,,,,,"State Senate","State Senate District",32,"Total Votes Cast",1,,,,,County,Jefferson,1
18771,"2002-11-05 00:00:00",General,,0,,,,,"State Senate","State Senate District",32,"Total Ballots Cast",1,,,,,County,Jefferson,1
17849,"2002-08-13 00:00:00",Primary,Democratic,0,,,,,"State Senate","State Senate District",30,"Jerri Hill",0,Democratic,,,,County,Douglas,1408
17849,"2002-08-13 00:00:00",Primary,Democratic,0,,,,,"State Senate","State Senate District",30,"Total Ballots Cast",1,,,,,County,Douglas,1408
17849,"2002-08-13 00:00:00",Primary,Democratic,0,,,,,"State Senate","State Senate District",30,"Total Votes Cast",1,,,,,County,Douglas,1408
